# rank frequency word
1778 12 malice
1779 12 manxman
1780 12 meat
1781 12 meeting
1782 12 mid
1783 12 milk
1784 12 mixed
1785 12 moments
1786 12 monstrous
1787 12 morrow
1788 12 motions
1789 12 mountain
1790 12 murmured
1791 12 naked
1792 12 narrative
1793 12 narrow
1794 12 nations
1795 12 naturally
1796 12 needle
1797 12 noise
1798 12 octavo
1799 12 offered
1800 12 oriental
1801 12 painted
1802 12 pair
1803 12 peril
1804 12 pocket
1805 12 poles
1806 12 prepared
1807 12 quiet
1808 12 ramadan
1809 12 rapid
1810 12 remaining
1811 12 removed
1812 12 resting
1813 12 rods
1814 12 sadly
1815 12 scarce
1816 12 scenes
1817 12 seeking
1818 12 service
1819 12 settled
1820 12 shipmate
1821 12 shipped
1822 12 shoulder
1823 12 shut
1824 12 sights
1825 12 singing
1826 12 size
1827 12 slain
1828 12 slow
1829 12 smells
1830 12 social
1831 12 solemn
1832 12 sounds
1833 12 southern
1834 12 spanish
1835 12 spars
